seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	18081704	18081908	205	*	X004	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	46859840	46860037	198	*	X011	2166	46859939	46879520	19582	+	0	overlapStart	0	FAAH
chr3	3841103	3841364	262	*	X042	57633	3841121	3889387	48267	+	0	overlapStart	0	LRRN1
chr5	179499424	179499515	92	*	X071	55819	179382474	179499109	116636	-	314	upstream	314	RNF130
chr7	56516132	56516160	29	*	X096	650226	56491397	56516068	24672	-	63	upstream	63	LOC650226
chr7	56516214	56516308	95	*	X097	650226	56491397	56516068	24672	-	145	upstream	145	LOC650226
chr7	130132207	130132229	23	*	X103	317751	130126898	130131013	4116	-	1193	upstream	1193	MESTIT1
chr7	130132247	130132369	123	*	X104	317751	130126898	130131013	4116	-	1233	upstream	1233	MESTIT1
chr7	156432583	156432598	16	*	X110	140545	156433353	156469820	36468	+	754	upstream	754	RNF32
chr7	156432639	156432658	20	*	X111	140545	156433353	156469820	36468	+	694	upstream	694	RNF32
chr9	93405117	93405240	124	*	X136	54769	93372114	93405108	32995	-	8	upstream	8	DIRAS2
chr9	93405259	93405356	98	*	X137	54769	93372114	93405108	32995	-	150	upstream	150	DIRAS2
chr9	127177989	127178026	38	*	X139	5695	127115744	127177752	62009	-	236	upstream	236	PSMB7
chr10	2357359	2357539	181	*	X143	399708	2342513	2357268	14756	-	90	upstream	90	LINC00701
chr10	65280508	65280683	176	*	X147	221035	65281123	65384883	103761	+	439	upstream	439	REEP3
chr16	30108252	30108553	302	*	X178	83719	30103635	30107537	3903	-	714	upstream	714	YPEL3
chr16	30108589	30108599	11	*	X179	83719	30103635	30107537	3903	-	1051	upstream	1051	YPEL3
chr17	72427023	72427220	198	*	X187	55890	72427667	72446720	19054	+	446	upstream	446	GPRC5C
chr17	72427436	72427538	103	*	X188	55890	72427667	72446720	19054	+	128	upstream	128	GPRC5C
chr17	72427862	72427907	46	*	X189	55890	72427667	72446720	19054	+	0	inside	194	GPRC5C
chr17	72427931	72428131	201	*	X190	55890	72427667	72446720	19054	+	0	inside	263	GPRC5C
chr19	58513903	58513933	31	*	X221	100128398	58514262	58518574	4313	+	328	upstream	328	LOC100128398
chr19	58514018	58514027	10	*	X222	100128398	58514262	58518574	4313	+	234	upstream	234	LOC100128398
chr19	58514132	58514254	123	*	X223	100128398	58514262	58518574	4313	+	7	upstream	7	LOC100128398
chr19	58514343	58514354	12	*	X224	100128398	58514262	58518574	4313	+	0	inside	80	LOC100128398
chr19	58545093	58545270	178	*	X225	284312	58545434	58565999	20566	+	163	upstream	163	ZSCAN1
chr19	58740107	58740150	44	*	X227	27300	58740070	58775008	34939	+	0	inside	36	ZNF544
chr21	39601218	39601515	298	*	X238	3772	39601837	39673746	71910	+	321	upstream	321	KCNJ15
